issuer,class,cusip,value,shares
ADVANCED MICRO DEVICES INC,COM,007903107,114729725,197500
ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,191960000,2000000
ALPHABET INC,CAP STK CL C,02079K107,653660500,1850000
AMAZON COM INC,COM,023135106,1191700000,5000000
AMERICAN AIRLINES GROUP INC,COM,02376R102,135525000,7500000
APPLE INC,COM,037833100,241615600,835000
ASML HLDG NV,N Y REGISTRY SHS,N07059210,99472000,50000
BAIDU INC,SPON ADR REP A,056752108,148005550,1295000
BERKSHIRE HATHAWAY INC DEL,CL B NEW,084670702,12509750,25000
BOEING CO,COM,097023105,173176000,800000
BROADCOM INC,COM,11135F101,56662500,150000
COREWEAVE INC,COM CL A,21873S108,107328806,1078248
ENERGY TRANSFER L P,COM UT LTD PTN,29273V100,30135510,1576125
GOODYEAR TIRE & RUBR CO,COM,382550101,9956701,1508591
ISHARES INC,MSCI STH KOR ETF,464286772,489607500,2425000
LAM RESEARCH CORP,COM NEW,512807306,165748725,382500
META PLATFORMS INC,CL A,30303M102,380220750,675000
MICRON TECHNOLOGY INC,COM,595112103,1125432750,975000
MPLX LP,COM UNIT REP LTD,55336V100,28303572,502460
NRG ENERGY INC,COM NEW,629377508,257065600,1760000
NVIDIA CORPORATION,COM,67066G104,305137250,1525000
QUALCOMM INC,COM,747525103,46197500,250000
SPACE EXPLORATION TECHN CORP,CLASS A COM STK,84615Q103,38443500,225000
TAIWAN SEMICONDUCTOR MANUFAC,SPONSORED ADS,874039100,787990500,1650000
UBER TECHNOLOGIES INC,COM,90353T100,555204163,7694071
VISTRA CORP,COM,92840M102,351408597,2215272
WHIRLPOOL CORP,COM,963320106,28185300,715000
