issuer,class,cusip,value,shares
ALPHABET INC,CAP STK CL C,02079K107,484744,1371931
AMAZON COM INC,COM,023135106,892310,3743854
AMERICOLD REALTY TRUST INC,COM,03064D108,107371,6830230
AON PLC,SHS CL A,G0403H108,227871,687000
AXALTA COATING SYS LTD,COM,G0750C108,43608,1274356
CME GROUP INC,COM,12572Q105,136694,619000
DNOW INC,COM,67011P100,36160,2788000
EAGLE MATLS INC,COM,26969P108,119422,530763
ELEVANCE HEALTH INC FORMERLY,COM,036752103,493140,1275154
FERGUSON ENTERPRISES INC,COMMON STOCK NEW,31488V107,344269,1450594
GDS HLDGS LTD,SPONSORED ADS,36165L108,113208,3769818
GENUINE PARTS CO,COM,372460105,332253,2816178
GRUPO AEROMEXICO SAB DE CV,SPONSORED ADS,40054J109,87843,4880188
HERBALIFE LTD,COM SHS,G4412G101,121767,9259844
LIBERTY GLOBAL LTD,COM CL C,G61188127,93975,8543161
MOLINA HEALTHCARE INC,COM,60855R100,144906,633609
NORWEGIAN CRUISE LINE HLDGS,SHS,G66721104,163180,7730000
PERSHING SQUARE INC,COMMON STOCK,71531U102,12881,392000
RESTAURANT BRANDS INTL INC ,COM,76131D103,489612,6753112
TELEFLEX INCORPORATED,COM,879369106,178605,1409000
UNION PAC CORP,COM,907818108,322427,1185395
VISA INC,COM CL A,92826C839,240628,701355
WESCO INTL INC,COM,95082P105,228979,662881
