issuer,class,cusip,value,shares
ALLY FINL INC,COM,02005N100,577211815,12561737
ALLY FINL INC,COM,02005N100,128838056,2803875
ALLY FINL INC,COM,02005N100,194285790,4228200
ALLY FINL INC,COM,02005N100,78463301,1707580
ALLY FINL INC,COM,02005N100,203264788,4423608
ALLY FINL INC,COM,02005N100,58586250,1275000
ALPHABET INC,CAP STK CL C,02079K107,9606489032,27188433
ALPHABET INC,CAP STK CL A,02079K305,5968079,16700
ALPHABET INC,CAP STK CL A,02079K305,2394379000,6700000
ALPHABET INC,CAP STK CL A,02079K305,2233562500,6250000
ALPHABET INC,CAP STK CL A,02079K305,23523689772,65824467
AMERICAN EXPRESS CO,COM,025816109,388967882,1149942
AMERICAN EXPRESS CO,COM,025816109,50419898471,149061045
AMERICAN EXPRESS CO,COM,025816109,473452922,1399713
APPLE INC,COM,037833100,200237120,692000
APPLE INC,COM,037833100,1111142400,3840000
APPLE INC,COM,037833100,9838240,34000
APPLE INC,COM,037833100,10047736640,34724000
APPLE INC,COM,037833100,788216640,2724000
APPLE INC,COM,037833100,4494339520,15532000
APPLE INC,COM,037833100,17808079008,61542988
APPLE INC,COM,037833100,2084549440,7204000
APPLE INC,COM,037833100,4187617920,14472000
APPLE INC,COM,037833100,23341172315,80664820
APPLE INC,COM,037833100,784744320,2712000
APPLE INC,COM,037833100,1092623360,3776000
BANK OF AMER CORP,COM,060505104,223361600,3920000
BANK OF AMER CORP,COM,060505104,678062000,11900000
BANK OF AMER CORP,COM,060505104,8290590,145500
BANK OF AMER CORP,COM,060505104,119658000,2100000
BANK OF AMER CORP,COM,060505104,1196580000,21000000
BANK OF AMER CORP,COM,060505104,17595909185,308808515
BANK OF AMER CORP,COM,060505104,7163525600,125720000
BANK OF AMER CORP,COM,060505104,558404000,9800000
CAPITAL ONE FINL CORP,COM,14040H105,228328029,1138112
CAPITAL ONE FINL CORP,COM,14040H105,373531971,1861888
CHEVRON CORPORATION,COM,166764100,572577806,3454258
CHEVRON CORPORATION,COM,166764100,1523694265,9192171
CHEVRON CORPORATION,COM,166764100,2234059905,13477678
CHEVRON CORPORATION,COM,166764100,9655809914,58251749
COCA COLA CO,COM,191216100,65016000,800000
COCA COLA CO,COM,191216100,30189448,371471
COCA COLA CO,COM,191216100,6907950,85000
COCA COLA CO,COM,191216100,6524615664,80283200
COCA COLA CO,COM,191216100,148236480,1824000
COCA COLA CO,COM,191216100,1171198224,14411200
COCA COLA CO,COM,191216100,1218269808,14990400
COCA COLA CO,COM,191216100,22976876186,282722729
COCA COLA CO,COM,191216100,288671040,3552000
COCA COLA CO,COM,191216100,78019200,960000
D R HORTON INC,COM,23331A109,580504,3564
DAVITA INC,COM,23918K108,3331328308,14973608
DAVITA INC,COM,23918K108,3093940590,13906601
DELTA AIR LINES INC,COM NEW,247361702,5368591200,57320000
JEFFERIES FINANCIAL GROUP IN,COM,47233W109,21669229,433558
KRAFT HEINZ CO,COM,500754106,7691494401,325634818
KROGER CO,COM,501044101,311361708,5607090
KROGER CO,COM,501044101,42676526,768531
KROGER CO,COM,501044101,298036118,5367119
KROGER CO,COM,501044101,1513595648,27257260
LENNAR CORP,CL A,526057104,67450522,745392
LENNAR CORP,CL A,526057104,1119030921,12366349
LENNAR CORP,CL B,526057302,26445959,298117
LIBERTY LIVE HOLDINGS INC,COM SER A,530909100,102444539,1011698
LIBERTY LIVE HOLDINGS INC,COM SER A,530909100,332616317,3284775
LIBERTY LIVE HOLDINGS INC,COM SER A,530909100,23628717,233347
LIBERTY LIVE HOLDINGS INC,COM SER A,530909100,46252328,456768
LIBERTY LIVE HOLDINGS INC,COM SHS SER C,530909308,367590332,3479651
LIBERTY LIVE HOLDINGS INC,COM SHS SER C,530909308,581821068,5507583
LIBERTY LIVE HOLDINGS INC,COM SHS SER C,530909308,17179177,162620
LIBERTY LIVE HOLDINGS INC,COM SHS SER C,530909308,151835210,1437289
LOUISIANA PAC CORP,COM,546347105,103822075,1319884
LOUISIANA PAC CORP,COM,546347105,341770542,4344909
MACYS INC,COM,55616P104,10451466,443799
MACYS INC,COM,55616P104,32410122,1376226
MACYS INC,COM,55616P104,130170294,5527401
MOODYS CORP,COM,615369105,32655532,72100
MOODYS CORP,COM,615369105,5423231470,11973928
MOODYS CORP,COM,615369105,5717548850,12623750
NVR INC,COM,62944T105,75710501,11112
NEW YORK TIMES CO MTN BE,CL A,650111107,97972000,1400000
NEW YORK TIMES CO MTN BE,CL A,650111107,1000714000,14300000
NUCOR CORP,COM,670346105,413814258,1857752
OCCIDENTAL PETE CORP,COM,674599105,12868205304,264941431
SIRIUSXM HOLDINGS INC,COMMON STOCK,829933100,472193651,15984890
SIRIUSXM HOLDINGS INC,COMMON STOCK,829933100,3214608586,108822227
VERISIGN INC,COM,92343E102,244754547,972947
VERISIGN INC,COM,92343E102,2016739665,8016933
CHUBB LIMITED,COM,H1467J104,11670066615,34249183
