issuer,class,cusip,value,shares
AERCAP HOLDINGS NV,SHS,N00985106,7810289,105090
AERCAP HOLDINGS NV,SHS,N00985106,10769711,144910
ALIGHT INC,COM CL A,01626W101,30639675,3591990
ALIGHT INC,COM CL A,01626W101,3166933,371270
ALIGHT INC,COM CL A,01626W101,44565156,5224520
ALIGHT INC,COM CL A,01626W101,459682,53890
BRIGHTHOUSE FINL INC,COM,10922N103,86746358,1639198
BRIGHTHOUSE FINL INC,COM,10922N103,9618316,181752
BRIGHTHOUSE FINL INC,COM,10922N103,40709610,769267
BRIGHTHOUSE FINL INC,COM,10922N103,23994246,453406
CONSOL ENERGY INC NEW,COM,20854L108,1751936,17427
CONSOL ENERGY INC NEW,COM,20854L108,34545425,343633
CONSOL ENERGY INC NEW,COM,20854L108,107345230,1067793
CONSOL ENERGY INC NEW,COM,20854L108,68031064,676724
COYA THERAPEUTICS INC,COMMON STOCK,22407B108,4410158,595163
COYA THERAPEUTICS INC,COMMON STOCK,22407B108,1771738,239101
COYA THERAPEUTICS INC,COMMON STOCK,22407B108,3258637,439762
DANIMER SCIENTIFIC INC,COM CL A,236272100,372500,365196
DANIMER SCIENTIFIC INC,COM CL A,236272100,1385095,1357936
DANIMER SCIENTIFIC INC,COM CL A,236272100,997099,977548
DANIMER SCIENTIFIC INC,COM CL A,236272100,34578,33900
DHT HOLDINGS INC,SHS NEW,Y2065G121,20444040,2084000
DHT HOLDINGS INC,SHS NEW,Y2065G121,12917121,1316730
DHT HOLDINGS INC,SHS NEW,Y2065G121,3719462,379150
FIRST CTZNS BANCSHARES INC N,CL A,31946M103,18318903,12910
FIRST CTZNS BANCSHARES INC N,CL A,31946M103,11961917,8430
FIRST CTZNS BANCSHARES INC N,CL A,31946M103,4938016,3480
FIRST HORIZON CORPORATION,COM,320517105,6722318,474740
FIRST HORIZON CORPORATION,COM,320517105,9338237,659480
FIRST HORIZON CORPORATION,COM,320517105,3439039,242870
FIRST TR EXCHANGE-TRADED FD,NAT GAS ETF,33733E807,560370,23070
FIRST TR EXCHANGE-TRADED FD,NAT GAS ETF,33733E807,640770,26380
FIRST TR EXCHANGE-TRADED FD,NAT GAS ETF,33733E807,220796,9090
GAIN THERAPEUTICS INC,COM,36269B105,828154,253646
GAIN THERAPEUTICS INC,COM,36269B105,851394,260764
GAIN THERAPEUTICS INC,COM,36269B105,241610,74000
GALAPAGOS NV,SPON ADR,36315X101,2300099,56583
GALAPAGOS NV,SPON ADR,36315X101,837797,20610
GALAPAGOS NV,SPON ADR,36315X101,3470900,85385
GOPRO INC,CL A,38268T103,3571393,1029220
GOPRO INC,CL A,38268T103,4961128,1429720
