issuer,class,cusip,value,shares
ALPHABET INC,CAP STK CL A,02079K305,9310043,32376
ALPHABET INC,CAP STK CL C,02079K107,89421720,311726
AMAZON COM INC,COM,023135106,2385104083,11451981
BROOKFIELD CORP,CL A LTD VT SH,11271J107,2415946008,59697208
HERTZ GLOBAL HLDGS INC,COM NEW,42806J700,70261595,15241127
HOWARD HUGHES HOLDINGS INC,COM,44267T102,1192581569,18852064
META PLATFORMS INC,CL A,30303M102,1522358404,2660861
MICROSOFT CORP,COM,594918104,2092970053,5654078
RESTAURANT BRANDS INTL INC,COM,76131D103,1673501194,22645483
SEAPORT ENTMT GROUP INC,COMMON STOCK,812215200,107910794,5023780
UBER TECHNOLOGIES INC,COM,90353T100,2154934398,29958771
